path,name,code,sub-code,original-price,price,sale-price,options,headline,caption,abstract,explanation,additional1,additional2,additional3,relevant-links,ship-weight,taxable,release-date,temporary-point-term,point-code,meta-key,meta-desc,template,sale-period-start,sale-period-end,sale-limit,sp-code,brand-code,person-code,yahoo-product-code,product-code,jan,delivery,astk-code,condition,taojapan,product-category,spec1,spec2,spec3,spec4,spec5,display,sort,sp-additional,original-price-evidence,lead-time-instock,lead-time-outstock
キッズ:ベビー:アパレル,ポルカドットフットパジャマ、サイズ0-9ヶ月,prod200270054,,4192.0,4192.0,,サイズ|15333|Newborn|210762|Newborn|210762|0-3 Months|210762|0-3 Months|210762|3-6 Months|210762|3-6 Months|210762|6-9 Months|210762|6-9 Months|210762|カラー|10011|ブルー|10683|ピンク|10683|ブルー|10683|ピンク|10683|ブルー|10683|ピンク|10683|ブルー|10683|ピンク|10683,Kissy Kissy,,,"Kissy Kissy polka-dot footie pajamas.
Round neckline; snap front.
Long sleeves.
Footed silhouette.
Snaps through legs.
Scalloped trim.
Cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.",,,,,,1,,,,,ポルカドットフットパジャマ、サイズ0-9ヶ月,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:アパレル,シェールロングスリーブスカートスウェットドレス、グレー、サイズ12-24ヶ月,prod200280119,,5516.0,5516.0,,サイズ|15333|12 Months|210762|18 Months|210762|24 Months|210762|カラー|10011|GRAY PATTERN|10683|GRAY PATTERN|10683|GRAY PATTERN|10683,Molo,,,"Molo ""Cher"" sweat dress from the Tulle Rainbow collection.
Skirted waist with striped tulle.
Crew neckline; snap back.
Long, raglan sleeves.
Shift silhouette.
Pullover style.
Cotton/polyester.
Imported.

About molo:
Headquartered in Denmark, molo's true passion is putting children first, designing on their terms. The collection features vibrant colors, strong shapes, and funky prints, allowing kids to express themselves freely and creatively.",,,,,,1,,,,,シェールロングスリーブスカートスウェットドレス、グレー、サイズ12-24ヶ月,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:アパレル,ブルゾン、白い模様、サイズ12-36ヶ月のマジョリカタイルと花柄のドレス,prod200970210,,41370.0,41370.0,,サイズ|15333|18-24 Months|210762|24-36 Months|210762|カラー|10011|WHITE PATTERN|10683|WHITE PATTERN|10683,Dolce & Gabbana,,,"Dolce & Gabbana poplin dress and bloomers set in vase of flowers and majolica tile print.
Jewel neckline.
Short sleeves.
Shift silhouette.
Hidden back zip.
Cotton.
Made in Italy.

About Dolce & Gabbana:
Designers Domenico Dolce and Stefano Gabbana are the duo behind Dolce & Gabbana, which they founded in 1982. They've been pushing the boundaries of fashion to great success ever since. This Italian label showcases sophisticated tailoring in anything-but-conservative looks, making Dolce & Gabbana a favorite of celebrities.",,,,,,1,,,,,ブルゾン、白い模様、サイズ12-36ヶ月のマジョリカタイルと花柄のドレス,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:アパレル,半袖フライングバードTシャツ、サイズ6-36ヶ月,prod201260144,,13790.0,13790.0,,サイズ|15333|24 Months|210762|36 Months|210762|6-9 Months|210762|9-12 Months|210762|12-18 Months|210762|18-24 Months|210762|カラー|10011|レッド|10683|レッド|10683|レッド|10683|レッド|10683|レッド|10683|レッド|10683,グッチ,,,"Gucci cotton T-shirt featuring flying bird-print.
Crew neckline; snap buttons at shoulders.
Short sleeves.
Made in Italy. 

About Gucci:
Founded in Florence in 1921, Gucci is one of the world's leading luxury fashion brands, with a renowned reputation for creativity, innovation and Italian craftsmanship. 
Gucci is part of the Kering Group, a world leader in apparel and accessories that owns a portfolio of powerful luxury and sport and lifestyle brands.",,,,,,1,,,,,半袖フライングバードTシャツ、サイズ6-36ヶ月,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:アパレル,花嫁衣装のノースリーブフラワーケースシフトドレス、サイズ12-36ヶ月,prod200980406,,35854.0,35854.0,,サイズ|15333|18-24 Months|210762|24-36 Months|210762|カラー|10011|ホワイト|10683|ホワイト|10683,Dolce & Gabbana,,,"Dolce & Gabbana poplin dress and bloomers set in vase of flowers print.
Jewel neckline.
Sleeveless; wide straps.
Shift silhouette.
Hidden back zip.
Cotton/spandex.
Made in Italy.

About Dolce & Gabbana:
Designers Domenico Dolce and Stefano Gabbana are the duo behind Dolce & Gabbana, which they founded in 1982. They've been pushing the boundaries of fashion to great success ever since. This Italian label showcases sophisticated tailoring in anything-but-conservative looks, making Dolce & Gabbana a favorite of celebrities.",,,,,,1,,,,,花嫁衣装のノースリーブフラワーケースシフトドレス、サイズ12-36ヶ月,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:アパレル,秋の花Pima Footieパジャマ、ピンク、サイズ新生児 -  9ヶ月とマッチングアイテム,prod200450505,,4854.0,4854.0,,サイズ|15333|S|210762|Newborn|210762|カラー|10011|ピンク|10683|ピンク|10683,Kissy Kissy,,,"Kissy Kissy convertible sleep gown from the Fall Blossoms collection.
Snaps through legs to create coverall.
Round neckline; snap front.
Long sleeves.
Relaxed fit.
Elasticized hem.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.",,,,,,1,,,,,秋の花Pima Footieパジャマ、ピンク、サイズ新生児 -  9ヶ月とマッチングアイテム,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:アパレル,"Floral Bubble Playsuit, Size 3-24 Months ",prod202400297,,9267.0,9267.0,,サイズ|15333|3 Months|210762|6 Months|210762|9 Months|210762|12 Months|210762|18 Months|210762|24 Months|210762|カラー|10011|ブルー|10683|ブルー|10683|ブルー|10683|ブルー|10683|ブルー|10683|ブルー|10683,Luli & Me,,,"Luli & Me floral-print playsuit featuring embroidered smock collar.
Crew neckline with ruffle trim; button back.
Short pleated sleeves with ruffle trim.
Bubble silhouette.
Button gusset. 
Polyester/cotton.
Imported. 

About Luli & Me:
 Luli & Me, a division of Maria Casero, features designs for casual occasions as well as special occasion. The line is known for classic styles in high-quality fabrics with outstanding attention to detail.",,,,,,1,,,,,"Floral Bubble Playsuit, Size 3-24 Months ",IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:アパレル,Jungle Jaunt Pima Footieパジャマ、ピンク、サイズ新生児 -  9か月と一致するアイテム,prod200480085,,4413.0,4413.0,,サイズ|15333|S|210762|Newborn|210762|カラー|10011|ネイビー|10683|ネイビー|10683,Kissy Kissy,,,"Kissy Kissy convertible sleep gown from the Jungle Jaunt collection.
Snaps through legs to create coverall.
V neckline; snap front.
Long sleeves.
Relaxed fit.
Elasticized hem.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.",,,,,,1,,,,,Jungle Jaunt Pima Footieパジャマ、ピンク、サイズ新生児 -  9か月と一致するアイテム,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:アパレル,小さなTutusプリントPimaコンバーチブル睡眠服、サイズ新生児スモール＆マッチングアイテム,prod202280074,,5075.0,5075.0,,サイズ|15333|9 Months|210762|3-6 Months|210762|6-9 Months|210762|12-18 Months|210762|18-24 Months|210762|カラー|10011|ピンク|10683|ピンク|10683|ピンク|10683|ピンク|10683|ピンク|10683,Kissy Kissy,,,"Kissy Kissy coverall in heart print from the Tiny Tutus collection.
Round neckline; back snaps.
Long sleeves.
Smocked waist.
Ruffle trim at collar, hem and cuffs.
Fitted silhouette.
Snaps through legs.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.",,,,,,1,,,,,小さなTutusプリントPimaコンバーチブル睡眠服、サイズ新生児スモール＆マッチングアイテム,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
キッズ:ベビー:おむつ - バッグ,エルラパッキングナイロントートバッグ,prod200850066,,24822.0,24822.0,,サイズ|15333|カラー|10011|ブラック|10683,トリーバーチ,,,"Tory Burch nylon tote bag with saffiano leather trim.
Lightweight, packable design.
Flat top handles, 11"" drop.
Recessed zip-top closure.
Logo medallion at top center.
Interior, logo jacquard lining; two slip pockets.
12.2""H x 15.8""W x 6""D.
""Ella"" is imported.

About Tory Burch:
 Tory Burch is an American lifestyle brand that embodies the personal style and sensibility of its chairman, CEO and designer, Tory Burch. Launched in February 2004, the collection includes ready-to-wear, shoes, handbags, accessories, watches, home, and beauty. ",,,,,,1,,,,,エルラパッキングナイロントートバッグ,IT03,,,,,,,,,,1,0,0,1,,,,,,,0,,,,0,
