product_id,product_name,product_name(j),category_id,category_name,category_name(j),color_size_stock,color_size_stock(j),price,product_desc,product_desc(j),brand_name,brand_name(j),product_url,product_img_url
prod200270054,"Polka-Dot Footie Pajamas, Size 0-9 Months ",ポルカドットフットパジャマ、サイズ0-9ヶ月,cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,LIGHT BLUE:Newborn:36|PINK:Newborn:34|LIGHT BLUE:0-3 Months:8|PINK:0-3 Months:3|LIGHT BLUE:3-6 Months:25|PINK:3-6 Months:32|LIGHT BLUE:6-9 Months:31|PINK:6-9 Months:20,ブルー:Newborn:36|ピンク:Newborn:34|ブルー:0-3 Months:8|ピンク:0-3 Months:3|ブルー:3-6 Months:25|ピンク:3-6 Months:32|ブルー:6-9 Months:31|ピンク:6-9 Months:20,4192.0,"Kissy Kissy polka-dot footie pajamas.
Round neckline; snap front.
Long sleeves.
Footed silhouette.
Snaps through legs.
Scalloped trim.
Cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.","Kissy Kissy polka-dot footie pajamas.
Round neckline; snap front.
Long sleeves.
Footed silhouette.
Snaps through legs.
Scalloped trim.
Cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.",Kissy Kissy,Kissy Kissy,http://www.neimanmarcus.com/en-jp/Kissy-Kissy-Polka-Dot-Footie-Pajamas-Size-0-9-Months-Apparel/prod200270054_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&eItemId=prod200270054&cmCat=product,f7710340c4a7a1af01a723dd906fced4f9bc66bd.jpg
prod200280119,"Cher Long-Sleeve Skirted Sweat Dress, Gray, Size 12-24 Months",シェールロングスリーブスカートスウェットドレス、グレー、サイズ12-24ヶ月,cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,GRAY PATTERN:12 Months:6|GRAY PATTERN:18 Months:3|GRAY PATTERN:24 Months:11,GRAY PATTERN:12 Months:6|GRAY PATTERN:18 Months:3|GRAY PATTERN:24 Months:11,5516.0,"Molo ""Cher"" sweat dress from the Tulle Rainbow collection.
Skirted waist with striped tulle.
Crew neckline; snap back.
Long, raglan sleeves.
Shift silhouette.
Pullover style.
Cotton/polyester.
Imported.

About molo:
Headquartered in Denmark, molo's true passion is putting children first, designing on their terms. The collection features vibrant colors, strong shapes, and funky prints, allowing kids to express themselves freely and creatively.","Molo ""Cher"" sweat dress from the Tulle Rainbow collection.
Skirted waist with striped tulle.
Crew neckline; snap back.
Long, raglan sleeves.
Shift silhouette.
Pullover style.
Cotton/polyester.
Imported.

About molo:
Headquartered in Denmark, molo's true passion is putting children first, designing on their terms. The collection features vibrant colors, strong shapes, and funky prints, allowing kids to express themselves freely and creatively.",Molo,Molo,http://www.neimanmarcus.com/en-jp/Molo-Cher-Long-Sleeve-Skirted-Sweat-Dress-Gray-Size-12-24-Months-Apparel/prod200280119_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&eItemId=prod200280119&cmCat=product,7dba569ee8998d370c80f39cc2a68b24f98d8da4.jpg
prod200970210,"Majolica Tile and Floral Print Dress w/ Bloomers, White Pattern, Size 12-36 Months",ブルゾン、白い模様、サイズ12-36ヶ月のマジョリカタイルと花柄のドレス,cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,WHITE PATTERN:18-24 Months:3|WHITE PATTERN:24-36 Months:3,WHITE PATTERN:18-24 Months:3|WHITE PATTERN:24-36 Months:3,41370.0,"Dolce & Gabbana poplin dress and bloomers set in vase of flowers and majolica tile print.
Jewel neckline.
Short sleeves.
Shift silhouette.
Hidden back zip.
Cotton.
Made in Italy.

About Dolce & Gabbana:
Designers Domenico Dolce and Stefano Gabbana are the duo behind Dolce & Gabbana, which they founded in 1982. They've been pushing the boundaries of fashion to great success ever since. This Italian label showcases sophisticated tailoring in anything-but-conservative looks, making Dolce & Gabbana a favorite of celebrities.","Dolce & Gabbana poplin dress and bloomers set in vase of flowers and majolica tile print.
Jewel neckline.
Short sleeves.
Shift silhouette.
Hidden back zip.
Cotton.
Made in Italy.

About Dolce & Gabbana:
Designers Domenico Dolce and Stefano Gabbana are the duo behind Dolce & Gabbana, which they founded in 1982. They've been pushing the boundaries of fashion to great success ever since. This Italian label showcases sophisticated tailoring in anything-but-conservative looks, making Dolce & Gabbana a favorite of celebrities.",Dolce & Gabbana,Dolce & Gabbana,http://www.neimanmarcus.com/en-jp/Dolce-Gabbana-Majolica-Tile-and-Floral-Print-Dress-w-Bloomers-White-Pattern-Size-12-36-Months-Apparel/prod200970210_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&eItemId=prod200970210&cmCat=product,959f670cc8682345ffe213d6e3bb9d3c917827a4.jpg
prod201260144,"Short-Sleeve Flying Bird T-Shirt, Size 6-36 Months",半袖フライングバードTシャツ、サイズ6-36ヶ月,cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,RED:24 Months:4|RED:36 Months:1|RED:6-9 Months:2|RED:9-12 Months:2|RED:12-18 Months:2|RED:18-24 Months:2,レッド:24 Months:4|レッド:36 Months:1|レッド:6-9 Months:2|レッド:9-12 Months:2|レッド:12-18 Months:2|レッド:18-24 Months:2,13790.0,"Gucci cotton T-shirt featuring flying bird-print.
Crew neckline; snap buttons at shoulders.
Short sleeves.
Made in Italy. 

About Gucci:
Founded in Florence in 1921, Gucci is one of the world's leading luxury fashion brands, with a renowned reputation for creativity, innovation and Italian craftsmanship. 
Gucci is part of the Kering Group, a world leader in apparel and accessories that owns a portfolio of powerful luxury and sport and lifestyle brands.","Gucci cotton T-shirt featuring flying bird-print.
Crew neckline; snap buttons at shoulders.
Short sleeves.
Made in Italy. 

About Gucci:
Founded in Florence in 1921, Gucci is one of the world's leading luxury fashion brands, with a renowned reputation for creativity, innovation and Italian craftsmanship. 
Gucci is part of the Kering Group, a world leader in apparel and accessories that owns a portfolio of powerful luxury and sport and lifestyle brands.",Gucci,グッチ,http://www.neimanmarcus.com/en-jp/Gucci-Short-Sleeve-Flying-Bird-T-Shirt-Size-6-36-Months-Apparel/prod201260144_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&eItemId=prod201260144&cmCat=product,6a8a432ad21fa7dfb198cacfc6ed284622661deb.jpg
prod200980406,"Sleeveless Flower Vase Shift Dress w/ Bloomers, Size 12-36 Months",花嫁衣装のノースリーブフラワーケースシフトドレス、サイズ12-36ヶ月,cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,WHITE:18-24 Months:1|WHITE:24-36 Months:4,ホワイト:18-24 Months:1|ホワイト:24-36 Months:4,35854.0,"Dolce & Gabbana poplin dress and bloomers set in vase of flowers print.
Jewel neckline.
Sleeveless; wide straps.
Shift silhouette.
Hidden back zip.
Cotton/spandex.
Made in Italy.

About Dolce & Gabbana:
Designers Domenico Dolce and Stefano Gabbana are the duo behind Dolce & Gabbana, which they founded in 1982. They've been pushing the boundaries of fashion to great success ever since. This Italian label showcases sophisticated tailoring in anything-but-conservative looks, making Dolce & Gabbana a favorite of celebrities.","Dolce & Gabbana poplin dress and bloomers set in vase of flowers print.
Jewel neckline.
Sleeveless; wide straps.
Shift silhouette.
Hidden back zip.
Cotton/spandex.
Made in Italy.

About Dolce & Gabbana:
Designers Domenico Dolce and Stefano Gabbana are the duo behind Dolce & Gabbana, which they founded in 1982. They've been pushing the boundaries of fashion to great success ever since. This Italian label showcases sophisticated tailoring in anything-but-conservative looks, making Dolce & Gabbana a favorite of celebrities.",Dolce & Gabbana,Dolce & Gabbana,http://www.neimanmarcus.com/en-jp/Dolce-Gabbana-Sleeveless-Flower-Vase-Shift-Dress-w-Bloomers-Size-12-36-Months-Apparel/prod200980406_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&eItemId=prod200980406&cmCat=product,b9f5c940cf3c75498b400303a4ea3c76e4321b1e.jpg
prod200450505,"Fall Blossoms Pima Footie Pajamas, Pink, Size Newborn-9 Months and Matching Items",秋の花Pima Footieパジャマ、ピンク、サイズ新生児 -  9ヶ月とマッチングアイテム,cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,PINK:S:35|PINK:Newborn:25,ピンク:S:35|ピンク:Newborn:25,4854.0,"Kissy Kissy convertible sleep gown from the Fall Blossoms collection.
Snaps through legs to create coverall.
Round neckline; snap front.
Long sleeves.
Relaxed fit.
Elasticized hem.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.","Kissy Kissy convertible sleep gown from the Fall Blossoms collection.
Snaps through legs to create coverall.
Round neckline; snap front.
Long sleeves.
Relaxed fit.
Elasticized hem.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.",Kissy Kissy,Kissy Kissy,http://www.neimanmarcus.com/en-jp/Kissy-Kissy-Fall-Blossoms-Convertible-Pima-Sleep-Gown-Pink-Size-Newborn-Small-Apparel/prod201170024_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&grpId=prod201170024&eItemId=prod200450505&cmCat=product&focusProductId=prod200450505,071b33a59f021b00f8ed6b5715528975d0097d05.jpg
prod202400297,"Floral Bubble Playsuit, Size 3-24 Months ","Floral Bubble Playsuit, Size 3-24 Months ",cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,BLUE:3 Months:3|BLUE:6 Months:10|BLUE:9 Months:3|BLUE:12 Months:4|BLUE:18 Months:4|BLUE:24 Months:2,ブルー:3 Months:3|ブルー:6 Months:10|ブルー:9 Months:3|ブルー:12 Months:4|ブルー:18 Months:4|ブルー:24 Months:2,9267.0,"Luli & Me floral-print playsuit featuring embroidered smock collar.
Crew neckline with ruffle trim; button back.
Short pleated sleeves with ruffle trim.
Bubble silhouette.
Button gusset. 
Polyester/cotton.
Imported. 

About Luli & Me:
 Luli & Me, a division of Maria Casero, features designs for casual occasions as well as special occasion. The line is known for classic styles in high-quality fabrics with outstanding attention to detail.","Luli & Me floral-print playsuit featuring embroidered smock collar.
Crew neckline with ruffle trim; button back.
Short pleated sleeves with ruffle trim.
Bubble silhouette.
Button gusset. 
Polyester/cotton.
Imported. 

About Luli & Me:
 Luli & Me, a division of Maria Casero, features designs for casual occasions as well as special occasion. The line is known for classic styles in high-quality fabrics with outstanding attention to detail.",Luli & Me,Luli & Me,http://www.neimanmarcus.com/en-jp/Luli-Me-Floral-Bubble-Playsuit-Size-3-24-Months-Apparel/prod202400297_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&eItemId=prod202400297&cmCat=product,193d6f8186e29c253f7b42bf2eb1a285b4d3de97.jpg
prod200480085,"Jungle Jaunt Pima Footie Pajamas, Pink, Size Newborn-9 Months and Matching Items",Jungle Jaunt Pima Footieパジャマ、ピンク、サイズ新生児 -  9か月と一致するアイテム,cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,NAVY:S:50|NAVY:Newborn:26,ネイビー:S:50|ネイビー:Newborn:26,4413.0,"Kissy Kissy convertible sleep gown from the Jungle Jaunt collection.
Snaps through legs to create coverall.
V neckline; snap front.
Long sleeves.
Relaxed fit.
Elasticized hem.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.","Kissy Kissy convertible sleep gown from the Jungle Jaunt collection.
Snaps through legs to create coverall.
V neckline; snap front.
Long sleeves.
Relaxed fit.
Elasticized hem.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.",Kissy Kissy,Kissy Kissy,http://www.neimanmarcus.com/en-jp/Kissy-Kissy-Jungle-Jaunt-Convertible-Pima-Sleep-Gown-Navy-White-Size-Newborn-Small-Apparel/prod201170022_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&grpId=prod201170022&eItemId=prod200480085&cmCat=product&focusProductId=prod200480085,615d3bfcfedc96fa3e91f7f8c8e629fbb0ef5cd2.jpg
prod202280074,"Tiny Tutus Printed Pima Convertible Sleep Gown, Size Newborn-Small and Matching Items",小さなTutusプリントPimaコンバーチブル睡眠服、サイズ新生児スモール＆マッチングアイテム,cat64360762,Kids\Baby\Apparel,キッズ\ベビー\アパレル,PINK:9 Months:17|PINK:3-6 Months:17|PINK:6-9 Months:26|PINK:12-18 Months:10|PINK:18-24 Months:8,ピンク:9 Months:17|ピンク:3-6 Months:17|ピンク:6-9 Months:26|ピンク:12-18 Months:10|ピンク:18-24 Months:8,5075.0,"Kissy Kissy coverall in heart print from the Tiny Tutus collection.
Round neckline; back snaps.
Long sleeves.
Smocked waist.
Ruffle trim at collar, hem and cuffs.
Fitted silhouette.
Snaps through legs.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.","Kissy Kissy coverall in heart print from the Tiny Tutus collection.
Round neckline; back snaps.
Long sleeves.
Smocked waist.
Ruffle trim at collar, hem and cuffs.
Fitted silhouette.
Snaps through legs.
Pima cotton.
Made in Peru.

About Kissy Kissy:
In 1995, Kissy Kissy debuted as a fine layette collection made from Peruvian Pima cotton. The line is known for its ultra-comfortable clothes and signature prints, making its baby essentials anything but basic.",Kissy Kissy,Kissy Kissy,http://www.neimanmarcus.com/en-jp/Kissy-Kissy-Tiny-Tutus-Print-Coverall-Size-3-24-Months-Apparel/prod202550007_cat64360762__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat64360762%2526pageSize%253D120%2526No%253D0%2526refinements%253D&grpId=prod202550007&eItemId=prod202280074&cmCat=product&focusProductId=prod202280074,21f9163c917e273949ef29894e188aee2d5a71a8.jpg
prod200850066,Ella Packable Nylon Tote Bag,エルラパッキングナイロントートバッグ,cat40380742,Kids\Baby\Diaper-Bags,キッズ\ベビー\おむつ - バッグ,BLACK::147,ブラック::147,24822.0,"Tory Burch nylon tote bag with saffiano leather trim.
Lightweight, packable design.
Flat top handles, 11"" drop.
Recessed zip-top closure.
Logo medallion at top center.
Interior, logo jacquard lining; two slip pockets.
12.2""H x 15.8""W x 6""D.
""Ella"" is imported.

About Tory Burch:
 Tory Burch is an American lifestyle brand that embodies the personal style and sensibility of its chairman, CEO and designer, Tory Burch. Launched in February 2004, the collection includes ready-to-wear, shoes, handbags, accessories, watches, home, and beauty. ","Tory Burch nylon tote bag with saffiano leather trim.
Lightweight, packable design.
Flat top handles, 11"" drop.
Recessed zip-top closure.
Logo medallion at top center.
Interior, logo jacquard lining; two slip pockets.
12.2""H x 15.8""W x 6""D.
""Ella"" is imported.

About Tory Burch:
 Tory Burch is an American lifestyle brand that embodies the personal style and sensibility of its chairman, CEO and designer, Tory Burch. Launched in February 2004, the collection includes ready-to-wear, shoes, handbags, accessories, watches, home, and beauty. ",Tory Burch,トリーバーチ,http://www.neimanmarcus.com/en-jp/Tory-Burch-Ella-Packable-Nylon-Tote-Bag-Diaper-Bags/prod200850066_cat40380742__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat40380742%2526pageSize%253D120%2526No%253D0%2526refinements%253D&eItemId=prod200850066&cmCat=product,124fe6b818ddc98a1388c1d1c82785dd0ca42133.jpg
